Inst_salud;Domicilio;Otro;Sin_informacion;total;Ano;id_regimen_Regimen;id_area_Area_Regimen
228;1;0;0;229;2014;sub;1
365;0;0;0;365;2014;sub;12
90;1;1;0;92;2014;sub;10
1482;9;2;0;1493;2014;sub;13
3771;10;2;0;3783;2014;sub;5
17;0;0;0;17;2014;sub;18
63;1;0;0;64;2014;sub;16
21254;71;22;0;21347;2014;sub;6
661;0;0;0;661;2015;sub;21
152;2;0;0;154;2015;sub;4
510;3;0;0;513;2015;sub;15
1860;5;2;0;1867;2015;sub;14
1891;2;0;0;1893;2015;sub;22
644;0;0;0;644;2015;sub;20
2592;15;6;0;2613;2015;sub;3
2861;11;1;0;2873;2015;sub;9
500;1;1;0;502;2015;sub;8
1051;0;1;0;1052;2015;sub;7
1503;2;0;0;1505;2015;sub;17
184;0;2;0;186;2015;sub;2
53;0;0;0;53;2015;sub;19
297;3;0;0;300;2015;sub;11
219;0;0;0;219;2015;sub;1
336;0;0;0;336;2015;sub;12
98;0;0;0;98;2015;sub;10
1456;3;0;0;1459;2015;sub;13
3460;10;2;0;3472;2015;sub;5
25;0;0;0;25;2015;sub;18
110;1;0;0;111;2015;sub;16
20463;58;15;0;20536;2015;sub;6
743;0;0;0;743;2016;sub;21
118;0;0;0;118;2016;sub;4
435;2;0;0;437;2016;sub;15
1671;8;2;0;1681;2016;sub;14
1748;10;2;0;1760;2016;sub;22
616;2;1;0;619;2016;sub;20
2449;12;5;0;2466;2016;sub;3
2468;10;3;0;2481;2016;sub;9
442;0;1;0;443;2016;sub;8
850;1;1;0;852;2016;sub;7
1076;4;1;0;1081;2016;sub;17
142;1;0;0;143;2016;sub;2
50;2;0;0;52;2016;sub;19
253;2;0;0;255;2016;sub;11
187;0;0;0;187;2016;sub;1
242;1;1;0;244;2016;sub;12
66;1;0;0;67;2016;sub;10
1320;4;0;0;1324;2016;sub;13
3114;13;0;0;3127;2016;sub;5
6;0;0;0;6;2016;sub;18
158;0;0;0;158;2016;sub;16
18154;73;17;0;18244;2016;sub;6
694;0;0;0;694;2017;sub;21
108;0;0;0;108;2017;sub;4
454;1;0;0;455;2017;sub;15
1480;6;2;0;1488;2017;sub;14
1751;10;2;0;1763;2017;sub;22
601;2;0;0;603;2017;sub;20
2308;18;2;0;2328;2017;sub;3
2519;9;6;0;2534;2017;sub;9
375;1;0;0;376;2017;sub;8
879;2;1;0;882;2017;sub;7
1485;5;1;0;1491;2017;sub;17
132;1;0;0;133;2017;sub;2
69;0;0;0;69;2017;sub;19
249;2;0;0;251;2017;sub;11
154;0;0;0;154;2017;sub;1
237;0;0;0;237;2017;sub;12
66;2;1;0;69;2017;sub;10
1249;10;0;0;1259;2017;sub;13
3153;26;3;0;3182;2017;sub;5
11;0;0;0;11;2017;sub;18
47;0;0;0;47;2017;sub;16
18021;95;18;0;18134;2017;sub;6
619;1;0;0;620;2018;sub;21
102;0;0;0;102;2018;sub;4
440;3;0;0;443;2018;sub;15
1360;8;0;0;1368;2018;sub;14
1649;11;3;0;1663;2018;sub;22
560;0;0;0;560;2018;sub;20
2212;7;7;0;2226;2018;sub;3
2137;3;2;0;2142;2018;sub;9
401;1;0;0;402;2018;sub;8
913;2;0;0;915;2018;sub;7
1508;5;5;0;1518;2018;sub;17
155;1;1;0;157;2018;sub;2
80;0;0;0;80;2018;sub;19
209;2;0;0;211;2018;sub;11
158;0;0;0;158;2018;sub;1
249;0;0;0;249;2018;sub;12
51;0;0;0;51;2018;sub;10
1134;4;2;0;1140;2018;sub;13
3202;20;3;0;3225;2018;sub;5
12;0;0;0;12;2018;sub;18
59;0;0;0;59;2018;sub;16
17210;68;23;0;17301;2018;sub;6
4826;7;1;2;4836;2008;con;21
1323;4;0;0;1327;2008;con;4
925;2;0;0;927;2008;con;15
3701;7;2;1;3711;2008;con;14
2875;6;0;0;2881;2008;con;22
2101;1;0;1;2103;2008;con;20
6164;11;2;1;6178;2008;con;3
10745;13;2;4;10764;2008;con;9
3836;4;1;1;3842;2008;con;8
8431;10;0;1;8442;2008;con;7
11112;11;5;2;11130;2008;con;17
1313;4;0;2;1319;2008;con;2
1081;7;0;0;1088;2008;con;19
819;1;1;0;821;2008;con;11
799;2;1;0;802;2008;con;1
2951;6;0;1;2958;2008;con;12
191;1;1;0;193;2008;con;10
3516;8;2;0;3526;2008;con;13
4747;5;3;2;4757;2008;con;5
14;0;0;0;14;2008;con;18
408;0;1;0;409;2008;con;16
71878;110;22;18;72028;2008;con;6
4868;7;0;0;4875;2009;con;21
1461;2;0;0;1463;2009;con;4
832;1;1;0;834;2009;con;15
3698;7;1;1;3707;2009;con;14
2804;3;1;0;2808;2009;con;22
2102;1;0;1;2104;2009;con;20
6342;1;2;2;6347;2009;con;3
10494;13;2;2;10511;2009;con;9
3830;3;1;0;3834;2009;con;8
8323;7;3;1;8334;2009;con;7
11004;13;3;3;11023;2009;con;17
1315;1;0;0;1316;2009;con;2
1157;4;0;0;1161;2009;con;19
793;0;1;0;794;2009;con;11
840;3;0;0;843;2009;con;1
2639;1;2;1;2643;2009;con;12
218;2;0;0;220;2009;con;10
3467;4;2;0;3473;2009;con;13
4590;10;0;1;4601;2009;con;5
8;0;0;0;8;2009;con;18
286;0;1;0;287;2009;con;16
71071;83;20;12;71186;2009;con;6
4946;3;1;0;4950;2010;con;21
1721;7;0;0;1728;2010;con;4
780;0;0;0;780;2010;con;15
3706;6;1;0;3713;2010;con;14
2766;7;4;0;2777;2010;con;22
1820;2;1;0;1823;2010;con;20
6296;5;4;0;6305;2010;con;3
10467;12;4;0;10483;2010;con;9
3526;1;2;0;3529;2010;con;8
7961;4;2;0;7967;2010;con;7
10616;9;3;0;10628;2010;con;17
1348;2;0;0;1350;2010;con;2
