nombre
Antonio Nariño
Barrios Unidos
Bosa
Chapinero
Ciudad Bolívar
Distrito
Engativá
Fontibón
Kennedy
La Candelaria
Los Mártires
Puente Aranda
Rafael Uribe Uribe
San Cristóbal
Santa Fe
Sin información de localidad 
Suba
Sumapaz
Teusaquillo
Tunjuelito
Usaquén
Usme
